Mois;Txch;touristeUSA;CVL;CMRL;GOOGLEUSA;COT;CVT;Touriste
2007-01;98.603765;2 627;23162;0.57297644963388084;89;6758;3044;15354
2007-02;99.959975;2 975;21702;0.59392446633825946;89;6104;3186;15859
2007-03;99.282505;3 528;25355;0.61898833064791758;92;6858;3579;18107
2007-04;97.257338;3 639;24360;0.61283018867924532;88;6605;3246;17290
2007-05;93.453843;3 967;25068;0.61029823493609248;90;6693;3433;17818
2007-06;94.341594;3 891;24564;0.61796226415094335;95;6150;3502;18783
2007-07;94.087617;4 221;28469;0.6956213653911939;97;4743;3828;21034
2007-08;93.146906;3 876;28225;0.68715763846622036;93;4734;3329;20897
2007-09;93.739766;3 853;25446;0.63854454203262234;82;4620;3270;18789
2007-10;94.627988;3 946;28819;0.70321116587770238;80;4774;3493;20891
2007-11;92.651087;3 290;25270;0.63716591023701463;71;4740;2763;16229
2007-12;90.317495;3 223;22598;0.55141281538236298;66;4774;2756;17190
2008-01;91.808220;1 729;20692;0.50528680618299915;80;4774;2234;13102
2008-02;91.276729;2 242;21772;0.56832598084001151;81;4466;2652;14765
2008-03;90.120899;3 329;22920;0.5596932919831018;84;4744;2815;16829
2008-04;88.293048;2 783;23373;0.58978046934140804;79;4620;2680;15962
2008-05;88.321403;4 054;26982;0.65888500891309121;83;4744;2840;17485
2008-06;88.932604;3 206;25126;0.63401463537723945;85;4633;2585;16551
2008-07;87.007458;3 161;25116;0.62260783341596426;87;4774;3346;19111
2008-08;87.604875;2 951;26248;0.65060479873091415;80;5208;3380;18601
2008-09;85.888269;3 305;25219;0.63682735284462511;73;4660;3214;17989
2008-10;83.878623;2 577;26715;0.64337836861498443;67;3782;2906;18121
2008-11;81.274150;2 535;23610;0.58578340156308151;62;3698;2334;14040
2008-12;81.907834;2 472;20214;0.48392425366881331;63;3782;1982;13940
2009-01;81.083447;1 529;17011;0.40771277233180742;74;3782;1671;9999
2009-02;80.924369;1 555;17582;0.46671267785092374;73;3516;1850;10372
2009-03;76.870931;2 000;19236;0.46102962323842395;75;3782;1960;12415
2009-04;75.768980;1 908;17892;0.47714544775721374;71;3660;2321;11230
2009-05;76.711400;2 529;20523;0.49120413585122424;75;3782;2384;13236
2009-06;76.731536;2 412;19464;0.48440805355765165;81;3660;2103;13824
2009-07;75.674658;2 389;23145;0.553403629581809;85;3782;2466;16853
2009-08;79.721085;2 587;21831;0.52076524892058873;80;3603;2507;15808
2009-09;83.065752;2 376;21232;0.52348430681229818;72;3520;2541;14888
2009-10;89.692216;2 033;21340;0.50327814725720488;68;3578;2201;15972
2009-11;93.733415;1 983;22261;0.55003459181656456;63;3810;1780;12892
2009-12;88.926158;2 103;20597;0.49295167891247638;62;3937;1680;12958
2010-01;90.181805;1 460;15117;0.37439631473363549;73;3937;1545;9016
2010-02;93.346355;1 722;14151;0.43557621275547892;71;3416;1507;9730
2010-03;91.522970;2 395;15534;0.42537926501999013;75;3782;1831;10547
2010-04;90.481887;2 557;16789;0.4780875359512487;70;3700;1983;10271
2010-05;87.446871;2 817;17204;0.47446221731936017;73;3782;2167;11525
2010-06;85.143550;2 221;17010;0.48753224419604474;80;3660;1852;12119
2010-07;84.711789;3 085;23763;0.65658156498673736;80;4842;3213;17790
2010-08;83.639618;2 854;21624;0.59743058433485285;72;4842;2840;15087
2010-09;81.960279;3 170;21407;0.61310001145606596;66;4587;2692;15160
2010-10;80.547297;2 870;24803;0.68977696201123528;61;4743;2592;16092
2010-11;80.029697;3 468;21632;0.61968603185516213;57;4530;2028;12784
2010-12;81.687329;2 891;18821;0.52093885798112316;56;4867;1837;13798
2011-01;83.625204;1 980;17769;0.49494443051725578;61;4929;1835;11371
2011-02;87.203464;2 868;17959;0.5588784465052592;64;4424;1546;11038
2011-03;87.954597;3 521;19597;0.56467367814435965;64;4877;1715;12304
2011-04;89.022125;3 131;18265;0.52997330547818011;62;4740;1941;12458
2011-05;95.018176;3 860;19714;0.55396633602158096;67;4898;1855;12838
2011-06;97.755726;3 383;19980;0.58091527592021863;71;4780;1629;14424
2011-07;93.491289;3 157;21502;0.60575839531214781;71;4061;1891;16858
2011-08;92.572483;3 293;21778;0.61348206991746246;64;4061;2262;15372
2011-09;91.372554;3 417;20485;0.59662152322702777;57;3930;1976;14402
2011-10;85.868402;3 361;20241;0.56960742929506125;54;4061;2091;14519
2011-11;87.399121;4 153;20320;0.5905431718445755;49;3930;1703;13086
2011-12;90.269839;3 289;18638;0.52452649649621474;49;3720;1815;14106
2012-01;89.356841;1 907;15848;0.46550154207666322;56;3782;1371;10238
2012-02;87.434666;3 212;18254;0.55904691902486836;58;3761;1468;11523
2012-03;85.266363;3 923;18690;0.55041818824360933;59;3782;1709;13075
2012-04;82.644224;3 347;18055;0.5538853268705709;57;3930;1914;13147
2012-05;83.191220;4 211;19889;0.58457514034623637;62;4061;1954;13879
2012-06;82.944984;3 693;19766;0.60764241138676256;67;3930;1717;14940
2012-07;83.667449;3 764;22454;0.65832062859153273;67;4061;2213;16979
2012-08;83.201697;3 419;22595;0.69104199162002633;61;4061;2343;16002
2012-09;86.689303;3 506;21957;0.67580794090489382;56;3930;2315;15944
2012-10;87.094740;3 528;21470;0.59860038475478849;50;4057;2241;15519
2012-11;88.043168;4 411;18812;0.54197637568424084;45;3930;1971;12470
2012-12;90.565786;3 868;17181;0.58236729713239777;46;4061;1767;15262
2013-01;92.482592;2 207;16636;0.57685772738305763;53;4061;1559;11174
2013-02;90.246215;2 679;16810;0.62733243767726521;56;3788;1319;11177
2013-03;90.400080;4 484;17928;0.60430781676610379;58;3818;1781;13897
2013-04;90.668505;3 003;17088;0.64507361268403174;56;3810;1956;12011
2013-05;93.337089;4 393;18038;0.65897051839403797;57;3930;2116;13534
2013-06;95.269881;4 126;17612;0.66485466213665534;62;3840;2012;15120
2013-07;97.121042;3 908;20068;0.73997050147492627;63;4039;2339;17289
2013-08;96.243304;3 359;18690;0.68286445012787722;59;4039;2517;14655
2013-09;92.839092;3 364;18934;0.71861241839987855;51;3930;2381;14175
2013-10;91.978717;3 355;18545;0.68343467845955408;50;3946;2394;14576
2013-11;93.031908;4 062;18240;0.67598117333135677;46;3900;2031;12953
2013-12;90.964566;3 825;15789;0.57864839111632338;46;4061;1791;13832
2014-01;89.816080;2 399;14892;0.55169858852295039;54;3968;1923;12422
2014-02;89.338996;3 100;15504;0.66154633896569381;55;3734;1456;12410
2014-03;92.055102;3 806;17172;0.66181061394380858;60;3908;1888;15410
2014-04;91.615178;3 774;16947;0.67491039426523303;57;2932;1427;15737
2014-05;91.926186;4 689;17756;0.69105627773020939;59;3930;2231;14853
2014-06;90.487502;4 190;15605;0.62146555157307848;62;3900;2008;14650
2014-07;91.242090;4 412;18863;0.72954053217821779;67;4031;2449;17656
2014-08;89.660465;3 366;18285;0.70470574632905536;59;3968;2552;14603
2014-09;89.411109;3 296;18828;0.74982078853046596;50;3931;2677;15500
2014-10;87.523335;3 418;19991;0.77045515859251557;48;3946;2596;17546
2014-11;88.442315;4 112;18765;0.74731182795698925;44;3862;2159;14646
2014-12;87.083384;3 818;15818;0.60962731722357111;46;3968;1923;15169
2015-01;87.678876;2 363;14604;0.56283963463984277;53;3969;1579;12343
2015-02;87.371974;3 260;14786;0.63090971155487285;55;2782;964;12949
2015-03;86.333326;4 129;16083;0.61984044398196325;58;3996;1878;14472
2015-04;86.394882;4 265;16616;0.66172839506172842;56;3952;2134;13956
2015-05;86.905280;4 487;18463;0.71241703966661518;57;4023;2435;14832
2015-06;87.793798;4 592;16291;0.64878534448426917;63;4268;2121;16223
2015-07;88.141690;3 806;19077;0.73522950630130646;67;3968;2447;18060
2015-08;89.618079;3 469;18319;0.70601610976220752;63;3968;2420;16463
2015-09;92.505670;3 415;18616;0.7473303894018466;56;3990;2658;16927
2015-10;94.167183;3 777;19335;0.7925154732139198;61;4039;2647;17561
2015-11;95.679202;4 961;19348;0.76765592763053481;49;3308;2141;15681
2015-12;96.778645;4 636;16326;0.62920568851890391;49;3518;1525;14364
2016-01;102.728434;2 915;15000;0.57879302361475538;57;3752;1556;12340
2016-02;105.143924;3 728;16776;0.70215971873430438;60;3774;1404;14444
2016-03;110.145730;5 127;17459;0.67529202444496017;60;3996;1966;15168
2016-04;110.727046;4 483;18400;0.78141589162101333;58;3530;2134;17042
2016-05;107.048668;4 995;17783;0.70978686038157579;61;4352;2468;15738
2016-06;106.428414;4 948;17709;0.70545353145042422;65;3990;2167;16758
2016-07;108.531220;4 318;20233;0.79112414467253178;68;3968;2593;19517
2016-08;107.157267;3 775;20547;0.80535413318700266;60;3968;2510;17719
2016-09;106.349267;3 757;20143;0.81583637100040507;54;3630;2678;17117
2016-10;106.231532;4 160;19732;0.77340963430408027;56;3782;2877;17499
2016-11;111.166702;5 064;18946;0.76109749728839438;50;3662;2140;14295
2016-12;109.719673;4 700;16488;0.64313297187658458;51;3673;1548;14858
2017-01;109.887817;2 946;14984;0.58945712037765541;57;3689;1555;11910
2017-02;107.589456;3 811;16287;0.67371251292657708;57;7536;4344;13564
2017-03;107.531639;5 511;18863;0.71385861338177414;61;9960;5028;16281
2017-04;105.240366;5 402;19583;0.78861952319587625;58;9622;5214;15523
2017-05;105.513565;5 284;20984;0.79823493609251372;61;8302;5586;16782
2017-06;106.282277;5 328;19459;0.75422480620155041;68;8038;5446;17599
2017-07;107.814230;4 553;21604;0.81988614800759019;72;8308;6451;21448
2017-08;106.439742;3 391;20893;0.79290322580645156;62;8404;6276;18563
2017-09;106.432719;3 889;20407;0.80140590637763121;58;8104;6067;18539
2017-10;108.238124;3 945;21431;0.81523889227023738;56;8375;6125;18271
2017-11;110.540097;5 007;20227;0.79197337509788568;49;8093;5255;15449
2017-12;113.202403;4 713;15856;0.60316494217894101;50;8265;4123;15030
2018-01;112.435102;3 099;14757;0.56135879488740115;55;8274;3809;11457
2018-02;112.131646;3 592;15787;0.66488376010781669;58;7588;3834;15747
2018-03;111.696431;5 131;18045;0.68643487522824098;59;8333;5259;17452
2018-04;111.301025;4 346;16674;0.6554245283018868;58;8040;4870;15955
2018-05;107.936140;4 387;18738;0.71279671332927574;59;8372;5571;16559
2018-06;106.271466;4 980;17879;0.70279088050314464;69;8040;5082;19372
2018-07;103.680085;4 736;19477;0.7409083992696287;73;8339;6027;24168
2018-08;101.070237;3 652;20379;0.7752206329884358;63;8308;6281;20110
2018-09;100.160630;3 904;18807;0.73926886792452828;55;7740;6240;19809